Month	L	M	S	SD	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
24	1	87.1161	0.03507	3.0551	77.7	80	81.4	82.1	83.2	83.9	85.1	87.1	89.2	90.3	91	92.1	92.9	94.2	96.6
25	1	87.972	0.03542	3.116	78.3	80.7	82.1	82.8	84	84.7	85.9	88	90.1	91.2	92	93.1	93.8	95.2	97.6
26	1	88.8065	0.03576	3.1757	79	81.4	82.8	83.6	84.7	85.5	86.7	88.8	90.9	92.1	92.9	94	94.8	96.2	98.6
27	1	89.6197	0.03610	3.2353	79.6	82.1	83.5	84.3	85.5	86.3	87.4	89.6	91.8	93	93.8	94.9	95.7	97.1	99.6
28	1	90.412	0.03642	3.2928	80.2	82.8	84.2	85	86.2	87	88.2	90.4	92.6	93.8	94.6	95.8	96.6	98.1	100.6
29	1	91.1828	0.03674	3.3501	80.8	83.4	84.9	85.7	86.9	87.7	88.9	91.2	93.4	94.7	95.5	96.7	97.5	99	101.5
30	1	91.9327	0.03704	3.4052	81.4	84	85.5	86.3	87.6	88.4	89.6	91.9	94.2	95.5	96.3	97.5	98.3	99.9	102.5
31	1	92.6631	0.03733	3.4591	82	84.6	86.2	87	88.2	89.1	90.3	92.7	95	96.2	97.1	98.4	99.2	100.7	103.4
32	1	93.3753	0.03761	3.5118	82.5	85.2	86.8	87.6	88.9	89.7	91	93.4	95.7	97	97.9	99.2	100	101.5	104.2
33	1	94.0711	0.03787	3.5625	83.1	85.8	87.4	88.2	89.5	90.4	91.7	94.1	96.5	97.8	98.6	99.9	100.8	102.4	105.1
34	1	94.7532	0.03812	3.612	83.6	86.4	88	88.8	90.1	91	92.3	94.8	97.2	98.5	99.4	100.7	101.5	103.2	105.9
35	1	95.4236	0.03836	3.6604	84.1	86.9	88.5	89.4	90.7	91.6	93	95.4	97.9	99.2	100.1	101.4	102.3	103.9	106.7
36	1	96.0835	0.03858	3.7069	84.6	87.5	89.1	90	91.3	92.2	93.6	96.1	98.6	99.9	100.8	102.2	103.1	104.7	107.5
37	1	96.7337	0.03879	3.7523	85.1	88	89.7	90.6	91.9	92.8	94.2	96.7	99.3	100.6	101.5	102.9	103.8	105.5	108.3
38	1	97.3749	0.03900	3.7976	85.6	88.5	90.2	91.1	92.5	93.4	94.8	97.4	99.9	101.3	102.2	103.6	104.5	106.2	109.1
39	1	98.0073	0.03919	3.8409	86.1	89.1	90.8	91.7	93.1	94	95.4	98	100.6	102	102.9	104.3	105.2	106.9	109.9
40	1	98.631	0.03937	3.8831	86.6	89.6	91.3	92.2	93.7	94.6	96	98.6	101.3	102.7	103.6	105	105.9	107.7	110.6
41	1	99.2459	0.03954	3.9242	87.1	90.1	91.9	92.8	94.2	95.2	96.6	99.2	101.9	103.3	104.3	105.7	106.6	108.4	111.4
42	1	99.8515	0.03971	3.9651	87.6	90.6	92.4	93.3	94.8	95.7	97.2	99.9	102.5	104	104.9	106.4	107.3	109.1	112.1
43	1	100.4485	0.03986	4.0039	88.1	91.1	92.9	93.9	95.3	96.3	97.7	100.4	103.1	104.6	105.6	107	108	109.8	112.8
44	1	101.0374	0.04002	4.0435	88.5	91.6	93.4	94.4	95.9	96.8	98.3	101	103.8	105.2	106.2	107.7	108.6	110.4	113.5
45	1	101.6186	0.04016	4.081	89	92.1	93.9	94.9	96.4	97.4	98.9	101.6	104.4	105.8	106.8	108.3	109.3	111.1	114.2
46	1	102.1933	0.04031	4.1194	89.5	92.6	94.4	95.4	96.9	97.9	99.4	102.2	105	106.5	107.5	109	109.9	111.8	114.9
47	1	102.7625	0.04045	4.1567	89.9	93.1	94.9	95.9	97.4	98.5	100	102.8	105.6	107.1	108.1	109.6	110.6	112.4	115.6
48	1	103.3273	0.04059	4.1941	90.4	93.6	95.4	96.4	98	99	100.5	103.3	106.2	107.7	108.7	110.2	111.2	113.1	116.3
49	1	103.8886	0.04073	4.2314	90.8	94	95.9	96.9	98.5	99.5	101	103.9	106.7	108.3	109.3	110.8	111.8	113.7	117
50	1	104.4473	0.04086	4.2677	91.3	94.5	96.4	97.4	99	100	101.6	104.4	107.3	108.9	109.9	111.5	112.5	114.4	117.6
51	1	105.0041	0.04100	4.3052	91.7	95	96.9	97.9	99.5	100.5	102.1	105	107.9	109.5	110.5	112.1	113.1	115	118.3
52	1	105.5596	0.04113	4.3417	92.1	95.5	97.4	98.4	100	101.1	102.6	105.6	108.5	110.1	111.1	112.7	113.7	115.7	119
53	1	106.1138	0.04126	4.3783	92.6	95.9	97.9	98.9	100.5	101.6	103.2	106.1	109.1	110.7	111.7	113.3	114.3	116.3	119.6
54	1	106.6668	0.04139	4.4149	93	96.4	98.4	99.4	101	102.1	103.7	106.7	109.6	111.2	112.3	113.9	115	116.9	120.3
55	1	107.2188	0.04152	4.4517	93.5	96.9	98.8	99.9	101.5	102.6	104.2	107.2	110.2	111.8	112.9	114.5	115.6	117.6	121
56	1	107.7697	0.04165	4.4886	93.9	97.3	99.3	100.4	102	103.1	104.7	107.8	110.8	112.4	113.5	115.2	116.2	118.2	121.6
57	1	108.3198	0.04177	4.5245	94.3	97.8	99.8	100.9	102.5	103.6	105.3	108.3	111.4	113	114.1	115.8	116.8	118.8	122.3
58	1	108.8689	0.04190	4.5616	94.8	98.3	100.3	101.4	103	104.1	105.8	108.9	111.9	113.6	114.7	116.4	117.4	119.5	123
